Time [s],Packet ID,MOSI,MISO
0.020829250000000,0,0x26,
0.020988166666667,1,0x3C,
0.023089083333333,2,0x26,
0.023248000000000,3,0x3C,
0.024519166666667,4,0x0C,
0.026884916666667,5,0x3A,
0.026990833333333,5,0x3C,
0.028173833333333,6,0x3A,
0.028527000000000,7,0x2D,
0.052286833333333,8,0x26,
0.052445916666667,9,0x3C,
0.053717916666667,10,0x0C,
0.055978750000000,11,0x3E,
0.056084750000000,11,0x38,
0.057268000000000,12,0x3A,
0.057621250000000,13,0x2D,
0.059793333333333,14,0x26,
0.059952250000000,15,0x3C,
0.061223583333333,16,0x2C,
0.063801583333333,17,0x38,
0.063907500000000,17,0x1C,
0.065090583333333,18,0x3A,
0.065443666666667,19,0x2D,
0.067721583333333,20,0x26,
0.067880500000000,21,0x3C,
0.069152000000000,22,0x2C,
0.071730333333333,23,0x3E,
0.071836250000000,23,0x04,
0.073019500000000,24,0x3A,
0.073372750000000,25,0x2D,
0.075650750000000,26,0x26,
0.075809666666667,27,0x3C,
0.077081083333333,28,0x2C,
0.079659000000000,29,0x3E,
0.079764916666667,29,0x04,
0.080947916666667,30,0x3A,
0.081301000000000,31,0x2D,
0.083578666666667,32,0x26,
0.083737583333333,33,0x3C,
0.085008916666667,34,0x2C,
0.087904583333333,35,0x30,
0.088010500000000,35,0x00,
0.089193583333333,36,0x3A,
0.089546750000000,37,0x2D,
0.091824750000000,38,0x26,
0.091983666666667,39,0x3C,
0.093255250000000,40,0x2C,
0.095939166666667,41,0x3C,
0.096045083333333,41,0x00,
0.097228166666667,42,0x3A,
0.097581250000000,43,0x2D,
0.099858916666667,44,0x26,
0.100017833333333,45,0x3C,
0.101289083333333,46,0x2C,
0.104078666666667,47,0x26,
0.104184583333333,47,0x04,
0.105367500000000,48,0x3A,
0.105720666666667,49,0x2D,
0.107998250000000,50,0x26,
0.108157250000000,51,0x3C,
0.109428583333333,52,0x2C,
0.112006583333333,53,0x34,
0.112112583333333,53,0x2C,
0.113295666666667,54,0x3A,
0.113648833333333,55,0x2D,
0.115926416666667,56,0x26,
0.116085333333333,57,0x3C,
0.117356416666667,58,0x2C,
0.119934000000000,59,0x2A,
0.120039916666667,59,0x1C,
0.121222833333333,60,0x3A,
0.121575916666667,61,0x2D,
0.123853166666667,62,0x26,
0.124012083333333,63,0x3C,
0.125283166666667,64,0x2C,
0.128178500000000,65,0x30,
0.128284416666667,65,0x00,
0.129467333333333,66,0x3A,
0.129820500000000,67,0x2D,
0.132098000000000,68,0x26,
0.132257000000000,69,0x3C,
0.133528250000000,70,0x2C,
0.136423500000000,71,0x22,
0.136529500000000,71,0x00,
0.137712250000000,72,0x3A,
0.138065333333333,73,0x2D,
0.140342583333333,74,0x26,
0.140501500000000,75,0x3C,
0.141772500000000,76,0x2C,
0.144349750000000,77,0x2A,
0.144455666666667,77,0x1C,
0.145638416666667,78,0x3A,
0.145991500000000,79,0x2D,
0.148268750000000,80,0x26,
0.148427666666667,81,0x3C,
0.149698833333333,82,0x2C,
0.152700333333333,83,0x20,
0.152806250000000,83,0x04,
0.153989166666667,84,0x3A,
0.154342250000000,85,0x2D,
0.156619500000000,86,0x26,
0.156778416666667,87,0x3C,
0.158049500000000,88,0x2C,
0.160626833333333,89,0x3E,
0.160732750000000,89,0x04,
0.161915500000000,90,0x3A,
0.162268583333333,91,0x2D,
0.164545666666667,92,0x26,
0.164704583333333,93,0x3C,
0.165975583333333,94,0x2C,
0.168553083333333,95,0x3E,
0.168659000000000,95,0x04,
0.169841916666667,96,0x3A,
0.170195000000000,97,0x2D,
0.172472500000000,98,0x26,
0.172631416666667,99,0x3C,
0.173902500000000,100,0x2C,
0.176479916666667,101,0x3E,
0.176585833333333,101,0x04,
0.177768583333333,102,0x3A,
0.178121666666667,103,0x2D,
0.180398750000000,104,0x26,
0.180557666666667,105,0x3C,
0.181828666666667,106,0x2C,
0.184088166666667,107,0x37,
0.184194083333333,107,0x38,
0.185376750000000,108,0x3A,
0.185729833333333,109,0x2D,
0.187724583333333,110,0x26,
0.187883500000000,111,0x3C,
0.189154666666667,112,0x0C,
0.191838250000000,113,0x20,
0.191944166666667,113,0x38,
0.193127000000000,114,0x3A,
0.193480166666667,115,0x2D,
0.197787583333333,116,0x26,
0.197946500000000,117,0x3C,
0.199217583333333,118,0x0C,
0.201689000000000,119,0x2A,
0.201794916666667,119,0x38,
0.202977666666667,120,0x3A,
0.203330666666667,121,0x2D,
0.205219416666667,122,0x26,
0.205378333333333,123,0x3C,
0.206649416666667,124,0x2C,
0.208909083333333,125,0x3D,
0.209015000000000,125,0x38,
0.210197916666667,126,0x3A,
0.210551000000000,127,0x2D,
0.212545916666667,128,0x26,
0.212704833333333,129,0x3C,
0.213975833333333,130,0x2C,
0.216235333333333,131,0x2F,
0.216341250000000,131,0x38,
0.217524000000000,132,0x3A,
0.217877000000000,133,0x2D,
0.219871666666667,134,0x26,
0.220030500000000,135,0x3C,
0.221301416666667,136,0x2C,
0.223454833333333,137,0x3F,
0.223560750000000,137,0x3C,
0.224743416666667,138,0x3A,
0.225096416666667,139,0x2D,
0.227091166666667,140,0x26,
0.227250083333333,141,0x3C,
0.228521083333333,142,0x2C,
0.230992666666667,143,0x2D,
0.231098583333333,143,0x30,
0.232281416666667,144,0x3A,
0.232634500000000,145,0x2D,
0.234629250000000,146,0x26,
0.234788166666667,147,0x3C,
0.236059083333333,148,0x2C,
0.238742250000000,149,0x23,
0.238848166666667,149,0x08,
0.240030833333333,150,0x3A,
0.240383916666667,151,0x2D,
